country,date_posted,title,url,bdesc,crawl_time
USA,"14 Nov, 2025",Looking for Lentils,https://www.tradewheel.com/buyers/looking-for-lentils/900673/,"Hello, I need Lentils, MOQ is 1ton",2025-11-15 16:15:45
United Arab Emirates,"14 Nov, 2025",Need to Purchase Rolling Threaded Pipe Nipples Wholesale,https://www.tradewheel.com/buyers/need-to-purchase-rolling-threaded-pipe-nipples-wholesale/900658/,"Hi I am looking to Purchase Rolling Threaded Nipples, in Galvanized Material for UAE market. can we proceed with Sample for quality testing. Thanks",2025-11-15 16:15:45
Saudi Arabia,"14 Nov, 2025",Importing sugar – Need quotes,https://www.tradewheel.com/buyers/importing-sugar-need-quotes/900656/,We are interested in importing sugar for large-scale distribution. I’d be happy to review your quotation and samples.,2025-11-15 16:15:45
Germany,"14 Nov, 2025",Searching for eco-friendly battery,https://www.tradewheel.com/buyers/searching-for-eco-friendly-battery/900654/,"Hello, We are looking to import batteries for bulk supply. Please share MOQ, FOB/CIF pricing, and shipping schedules.",2025-11-15 16:15:45
United Kingdom,"14 Nov, 2025",Importing Honing Machine- Need  quotes,https://www.tradewheel.com/buyers/importing-honing-machine-need-quotes/900646/,I’m checking for honing machines that can keep a stable finish accuracy during continuous shifts. Details on stroke control and abrasive options would help me evaluate. Open to mid-capacity models first.,2025-11-15 16:15:45
Armenia,"14 Nov, 2025",Want to buy Macadamia Nuts,https://www.tradewheel.com/buyers/want-to-buy-macadamia-nuts/900644/,"Hi, I work with premium food categories and want macadamia nuts with reliable quality and neat sorting. Share details on shell status and any value-added processing. Suitable for long-distance transit is preferred.",2025-11-15 16:15:45
Thailand,"14 Nov, 2025",Importing Nuts & kernels -need quotes,https://www.tradewheel.com/buyers/importing-nuts-kernels-need-quotes/900643/,"Hi, I deal in food distribution and want nuts and kernels that maintain freshness in transit. Let me know about sealing options and quality checks. Prefer consistent size selection.",2025-11-15 16:15:45
USA,"14 Nov, 2025",Need Clothes in bulk quantity,https://www.tradewheel.com/buyers/need-clothes-in-bulk-quantity/900642/,"Hi, I handle small-batch orders and want clothes with clean finishing and dependable fitting. Share details on customization options and packaging methods. Suitable for mixed-style assortments.",2025-11-15 16:15:45
USA,"14 Nov, 2025",Want to import Cashew Nuts,https://www.tradewheel.com/buyers/want-to-import-cashew-nuts/900641/,"Hi, I deal in food items and want cashew nuts that hold freshness during transit. Let me know about vacuum sealing and your typical quality standard. Suitable for retail packing preferred.",2025-11-15 16:15:45
USA,"14 Nov, 2025",Need AC Motors at competitive Price,https://www.tradewheel.com/buyers/need-ac-motors-at-competitive-price/900640/,"Hi, I source mechanical components and want AC motors with consistent RPM stability. Let me know about shaft options and mounting styles. Open to different horsepower ranges.",2025-11-15 16:15:45
USA,"14 Nov, 2025",Need Perfumes in large quantity,https://www.tradewheel.com/buyers/need-perfumes-in-large-quantity/900639/,"Hi, I deal in personal care products and want perfumes that hold well throughout the day. Share details on ingredients used and any special blends you offer. Steady supply capability is important for me.",2025-11-15 16:15:45
India,"14 Nov, 2025",Importing Textile Machinery - Need Quotes,https://www.tradewheel.com/buyers/importing-textile-machinery-need-quotes/900638/,"Hello, seeking manufacturers of textile machines suited for steady daily operation. I’d like to understand spare-parts availability and after-sales support. Share details on your primary machine categories.",2025-11-15 16:15:45
Hong Kong,"14 Nov, 2025",Importing Knitted Fabric-Need quotes,https://www.tradewheel.com/buyers/importing-knitted-fabric-need-quotes/900636/,"Hi, I source knitted fabric and want to review your stretch quality and softness levels. Let me know what dyeing methods you use and if custom shades are possible. Prefer reliable weekly dispatch cycles.",2025-11-15 16:15:45
Philippines,"14 Nov, 2025",Need EN590 Fuel in best prices,https://www.tradewheel.com/buyers/need-en590-fuel-in-best-prices/900635/,"Hi, reaching out to see who offers EN590 with transparent quality checks and real allocation. I’d like to learn about test reports, shipment intervals, and minimum liftable quantity. Welcoming serious suppliers.",2025-11-15 16:15:45
USA,"14 Nov, 2025",Importing Jelly- Need Quotes,https://www.tradewheel.com/buyers/importing-jelly-need-quotes/900634/,I’m exploring suppliers who produce jelly with consistent texture and clean ingredient profiles. Curious about the flavors you usually pack and the shelf stability. Open to both small and bulk packaging depending on your range.,2025-11-15 16:15:45
Republic of Türkiye,"14 Nov, 2025",Sourcing graphite powder at competitive prices,https://www.tradewheel.com/buyers/sourcing-graphite-powder-at-competitive-prices/900628/,"Good day, We are interested in buying graphite powder. The powder must be finely processed, impurity-free & packed securely for transportation.",2025-11-15 16:15:45
Philippines,"14 Nov, 2025",Looking to partner with sanitary napkins supplier,https://www.tradewheel.com/buyers/looking-to-partner-with-sanitary-napkins-supplier/900625/,"Helo, We are currently sourcing sanitary napkins. The products must provide long-lasting dryness, gentle materials & high absorption efficiency.",2025-11-15 16:15:45
Uzbekistan,"14 Nov, 2025",Require auto parts with custom specs,https://www.tradewheel.com/buyers/require-auto-parts-with-custom-specs/900622/,"Hello, We are currently seeking auto parts. All components must be manufactured with precision, durable materials & compliance with industry standards.",2025-11-15 16:15:45
USA,"14 Nov, 2025",In need of webbing straps from manufacturer,https://www.tradewheel.com/buyers/in-need-of-webbing-straps-from-manufacturer/900617/,"Hi there, I am looking to purchase webbing straps. The straps should offer strong tensile strength, abrasion resistance and stable color quality.",2025-11-15 16:15:45
Oman,"14 Nov, 2025",Looking for TV antenna at competitive price,https://www.tradewheel.com/buyers/looking-for-tv-antenna-at-competitive-price/900615/,"Good day, I am reaching out to find producers of TV antenna suitable for homes, offices, and hotels. Please provide signal strength, design options, and mounting methods.",2025-11-15 16:15:45
